Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ein schneller Algorithmus zur Lösung des Riemann-Problems","Computing","","39","1","10.1007/BF02307715","B. Einfeldt","1987","http://link.springer.com/article/10.1007/BF02307715","Article"
"On the monotonicity of the interval versions of Schulz's method","Computing","","38","1","10.1007/BF02253745","J. Herzberger","1987","http://link.springer.com/article/10.1007/BF02253745","Article"
"Being there: why implementation matters to cognitive science","Artificial Intelligence Review","","1","4","10.1007/BF00142924","Andy Clark","1987","http://link.springer.com/article/10.1007/BF00142924","Article"
"Parallel processing of an object space for image synthesis using ray tracing","The Visual Computer","","3","1","10.1007/BF02153647","Hiroaki KobayashiTadao NakamuraYoshiharu Shigei","1987","http://link.springer.com/article/10.1007/BF02153647","Article"
"As the generations pass...","Computers and translation","","2","4","10.1007/BF01682188","W.P.L.","1987","http://link.springer.com/article/10.1007/BF01682188","Article"
"Computer Art Forum","The Visual Computer","","3","1","10.1007/BF02153651","Nadia Magnenat-Thaimann","1987","http://link.springer.com/article/10.1007/BF02153651","Article"
"A method for the mechanical derivation of formulas in elementary geometry","Journal of Automated Reasoning","","3","3","10.1007/BF00243793","Shang-Ching Chou","1987","http://link.springer.com/article/10.1007/BF00243793","Article"
"The viewpoint consistency constraint","International Journal of Computer Vision","","1","1","10.1007/BF00128526","David G. Lowe","1987","http://link.springer.com/article/10.1007/BF00128526","Article"
"On interrupt strategy from the point of view of system efficiency","Journal of Computer Science and Technology","","2","3","10.1007/BF02973506","Shicheng ChenZhongyi Zhou","1987","http://link.springer.com/article/10.1007/BF02973506","Article"
"On the development of applications of logic in programming","Journal of Computer Science and Technology","","2","1","10.1007/BF02943315","Yunzeng Wu","1987","http://link.springer.com/article/10.1007/BF02943315","Article"
"Texture modelling applications","The Visual Computer","","3","4","10.1007/BF01952826","Andre Gagalowicz","1987","http://link.springer.com/article/10.1007/BF01952826","Article"
"Box Sort, a multidimensional binary sorting method for rectangular boxes, used for quick range searching","The Visual Computer","","3","4","10.1007/BF01952830","Piet Houthuys","1987","http://link.springer.com/article/10.1007/BF01952830","Article"
"Obvious inferences","Journal of Automated Reasoning","","3","4","10.1007/BF00247436","Piotr Rudnicki","1987","http://link.springer.com/article/10.1007/BF00247436","Article"
"Artificial intelligence and software engineering: a tutorial introduction to their relationship","Artificial Intelligence Review","","1","4","10.1007/BF00142926","L. Ford","1987","http://link.springer.com/article/10.1007/BF00142926","Article"
"Surface representations based on triangular grids","The Visual Computer","","3","1","10.1007/BF02153649","Leila De Floriani","1987","http://link.springer.com/article/10.1007/BF02153649","Article"
"A shortest augmenting path algorithm for dense and sparse linear assignment problems","Computing","","38","4","10.1007/BF02278710","R. JonkerA. Volgenant","1987","http://link.springer.com/article/10.1007/BF02278710","Article"
"The problem of extending the set of support strategy","Journal of Automated Reasoning","","3","3","10.1007/BF00243795","Larry Wos","1987","http://link.springer.com/article/10.1007/BF00243795","Article"
"A key-lock access control","Journal of Computer Science and Technology","","2","3","10.1007/BF02973508","Guoxiang HuangJian Liu","1987","http://link.springer.com/article/10.1007/BF02973508","Article"
