Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Solving linear systems by methods based on a probabilistic interpretation","Computing","","26","3","10.1007/BF02243479","Dr. J. van NunenDr. J. Wessels","1981","http://link.springer.com/article/10.1007/BF02243479","Article"
"Ein implizites Charakteristikenverfahren zur Lösung von Anfangsrandwertaufgaben bei hyperbolischen Systemen und seine Konvergenz","Computing","","26","3","10.1007/BF02243483","Prof. Dr. J. EdenhoferDipl.-Ing. G. Schmitz","1981","http://link.springer.com/article/10.1007/BF02243483","Article"
"Variable metric methods for linearly constrained nonlinear minimax approximation","Computing","","30","4","10.1007/BF02242138","L. Lukšan","1983","http://link.springer.com/article/10.1007/BF02242138","Article"
"The plane with parallel coordinates","The Visual Computer","","1","2","10.1007/BF01898350","Alfred Inselberg","1985","http://link.springer.com/article/10.1007/BF01898350","Article"
"Open mathematical problems computer competition","Computing","","30","4","10.1007/BF02242142","J. H. Siekmann","1983","http://link.springer.com/article/10.1007/BF02242142","Article"
"People places things","The Visual Computer","","1","4","10.1007/BF02021809","Nancy H. McDonald Ph.D.","1985","http://link.springer.com/article/10.1007/BF02021809","Article"
"A model for the three-dimensional reconstruction and animation of the human heart","The Visual Computer","","1","4","10.1007/BF02021813","D. ThalmannO. RatibN. Magnenat-ThalmannA. Righetti","1985","http://link.springer.com/article/10.1007/BF02021813","Article"
"A knowledge assimilation method for logic databases","New Generation Computing","","2","4","10.1007/BF03037329","Taizo MiyachiSusumu KunifujiHajime KitakamiKoichi FurukawaAkikazu TakeuchiHaruo Yokota","1984","http://link.springer.com/article/10.1007/BF03037329","Article"
"Enclosing the solution set of linear systems with inaccurate data by iterative methods based on incomplete LU-decompositions","Computing","","35","2","10.1007/BF02260505","G. Mayer","1985","http://link.springer.com/article/10.1007/BF02260505","Article"
"Über die Distributivgesetze der erweiterten Intervallarithmetik","Computing","","24","1","10.1007/BF02242790","Dr. Neli Dimitrova","1980","http://link.springer.com/article/10.1007/BF02242790","Article"
"Dynamic programming algorithms for the Zero-One Knapsack Problem","Computing","","25","1","10.1007/BF02243880","Prof. Dr. P. Toth","1980","http://link.springer.com/article/10.1007/BF02243880","Article"
"A prological definition of HASL a purely functional language with unification based conditional binding expressions","New Generation Computing","","2","1","10.1007/BF03037050","Harvey Abramson","1984","http://link.springer.com/article/10.1007/BF03037050","Article"
"A note on the average depth of tries","Computing","","28","4","10.1007/BF02279819","L. Devroye","1982","http://link.springer.com/article/10.1007/BF02279819","Article"
"Interval iterations for including a set of solutions","Computing","","32","1","10.1007/BF02243016","Prof. Dr. R. Krawczyk","1984","http://link.springer.com/article/10.1007/BF02243016","Article"
"Computing surface of constant mean curvature with singularities","Computing","","32","1","10.1007/BF02243020","Dr. D. E. Hewgill","1984","http://link.springer.com/article/10.1007/BF02243020","Article"
"Approximation von Leistungsgrößen symmetrischer Mehrprozessorsysteme","Computing","","31","4","10.1007/BF02251235","G. Bolch","1983","http://link.springer.com/article/10.1007/BF02251235","Article"
"Design and simulation of a sequential Prolog machine","New Generation Computing","","3","1","10.1007/BF03037117","W. F. Clocksin","1985","http://link.springer.com/article/10.1007/BF03037117","Article"
"A view of Artificial Intelligence","New Generation Computing","","3","3","10.1007/BF03037121","Bernard A. Galler","1985","http://link.springer.com/article/10.1007/BF03037121","Article"
"Estimates for the errors in the solutions of linear boundary value problems, due to perturbations","Computing","","27","4","10.1007/BF02277181","R. M. M. Mattheij","1981","http://link.springer.com/article/10.1007/BF02277181","Article"
