Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Comparative Migration Studies","Comparative Migration Studies","","1 / 2013 - 10 / 2022","","","","","http://link.springer.com/journal/40878","Journal"
"Human Evolution","Human Evolution","","1 / 1986 - 21 / 2006","","","","","http://link.springer.com/journal/11598","Journal"
"Childhood Vulnerability Journal","Childhood Vulnerability Journal","","1 / 2018 - 4 / 2022","","","","","http://link.springer.com/journal/41255","Journal"
"Quality & Quantity","Quality & Quantity","","1 / 1967 - 56 / 2022","","","","","http://link.springer.com/journal/11135","Journal"
"Journal of Maritime Archaeology","Journal of Maritime Archaeology","","1 / 2006 - 17 / 2022","","","","","http://link.springer.com/journal/11457","Journal"
"Sociological Forum","Sociological Forum","","1 / 1986 - 21 / 2006","","","","","http://link.springer.com/journal/11206","Journal"
"Sociological Practice","Sociological Practice","","1 / 1999 - 4 / 2002","","","","","http://link.springer.com/journal/11210","Journal"
"SN Social Sciences","SN Social Sciences","","1 / 2021 - 2 / 2022","","","","","http://link.springer.com/journal/43545","Journal"
"International Journal of Anthropology and Ethnology","International Journal of Anthropology and Ethnology","","1 / 2017 - 6 / 2022","","","","","http://link.springer.com/journal/41257","Journal"
"Sexuality & Culture","Sexuality & Culture","","4 / 2000 - 26 / 2022","","","","","http://link.springer.com/journal/12119","Journal"
"Dagbesteding","Dagbesteding","","37 / 2016 - 39 / 2018","","","","","http://link.springer.com/journal/41188","Journal"
"Journal of Ethnic Foods","Journal of Ethnic Foods","","6 / 2019 - 9 / 2022","","","","","http://link.springer.com/journal/42779","Journal"
"Soziale Passagen","Soziale Passagen","","1 / 2009 - 14 / 2022","","","","","http://link.springer.com/journal/12592","Journal"
"Journal of Chinese Studies","Journal of Chinese Studies","","1 / 2016 - 2 / 2017","","","","","http://link.springer.com/journal/40853","Journal"
"Sozial Extra","Sozial Extra","","28 / 2004 - 46 / 2022","","","","","http://link.springer.com/journal/12054","Journal"
"International Journal of the Sociology of Leisure","International Journal of the Sociology of Leisure","","1 / 2018 - 5 / 2022","","","","","http://link.springer.com/journal/41978","Journal"
"Journal of Paleolithic Archaeology","Journal of Paleolithic Archaeology","","1 / 2018 - 5 / 2022","","","","","http://link.springer.com/journal/41982","Journal"
"Genus","Genus","","72 / 2016 - 78 / 2022","","","","","http://link.springer.com/journal/41118","Journal"
"Jeugdbeleid","Jeugdbeleid","","6 / 2012 - 13 / 2019","","","","","http://link.springer.com/journal/12451","Journal"
"Development","Development","","42 / 1999 - 65 / 2022","","","","","http://link.springer.com/journal/41301","Journal"
"Erziehungswissenschaft","Erziehungswissenschaft","","17 / 2006","","","","","http://link.springer.com/journal/11611","Journal"
"Jeugd en Co","Jeugd en Co","","6 / 2012 - 12 / 2018","","","","","http://link.springer.com/journal/12449","Journal"
"Journal of Social Distress and the Homeless","Journal of Social Distress and the Homeless","","1 / 1992 - 11 / 2002","","","","","http://link.springer.com/journal/10949","Journal"
"Berliner Journal für Soziologie","Berliner Journal für Soziologie","","10 / 2000 - 32 / 2022","","","","","http://link.springer.com/journal/11609","Journal"
"Journal of Public Health Policy","Journal of Public Health Policy","","1 / 1980 - 43 / 2022","","","","","http://link.springer.com/journal/41271","Journal"
"KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie","KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie","","52 / 2000 - 74 / 2022","","","","","http://link.springer.com/journal/11577","Journal"
"Journal of Population Ageing","Journal of Population Ageing","","1 / 2008 - 15 / 2022","","","","","http://link.springer.com/journal/12062","Journal"
"Archaeology, Ethnology and Anthropology of Eurasia","Archaeology, Ethnology and Anthropology of Eurasia","","25 / 2006 - 32 / 2007","","","","","http://link.springer.com/journal/11473","Journal"
