Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A note on Moore's interval test for zeros of nonlinear systems","Computing","","40","1","10.1007/BF02242192","Shen ZuheA. Neumaier","1988","http://link.springer.com/article/10.1007/BF02242192","Article"
"How to compute the n-fold convolution power of elementary functions without numerical integration","Computing","","40","4","10.1007/BF02276918","R. LasserJ. Tritschler","1988","http://link.springer.com/article/10.1007/BF02276918","Article"
"Multiprocessing for ray tracing: a hierarchical self-balancing approach","The Visual Computer","","4","4","10.1007/BF01887591","Issac D. SchersonElisha Caspary","1988","http://link.springer.com/article/10.1007/BF01887591","Article"
"The socratic and platonic basis of cognitivism","AI & SOCIETY","","2","2","10.1007/BF01891374","Hubert L. Dreyfus","1988","http://link.springer.com/article/10.1007/BF01891374","Article"
"Book reviews","Artificial Intelligence Review","","2","4","10.1007/BF00138818","Tony DoddLeonard BolcPaul TaylorJudith WustermanBlay WhitbyCarlton McDonaldJ. GarwoodJim SholicarWendy J. MilneM. PengellyTony PriestAntony GaltonMahesan NiranjanD. RaintonJ. R. ThomasSteve Hedges","1988","http://link.springer.com/article/10.1007/BF00138818","Article"
"Adapting rational approximants for Fourier series to data representation problems","Computing","","40","3","10.1007/BF02251250","R. J. Charron","1988","http://link.springer.com/article/10.1007/BF02251250","Article"
"Scientific foreword","New Generation Computing","","6","2 - 3","10.1007/BF03037132","Neil D. Jones","1988","http://link.springer.com/article/10.1007/BF03037132","Article"
"The potential of swetra—A multilanguage MT system","Computers and translation","","3","3 - 4","10.1007/BF02144632","Bengt SigurdBarbara Gawronska-Werngren","1988","http://link.springer.com/article/10.1007/BF02144632","Article"
"News section","AI & SOCIETY","","2","1","10.1007/BF01891445","","1988","http://link.springer.com/article/10.1007/BF01891445","Article"
"Credit assignment in rule discovery systems based on genetic algorithms","Machine Learning","","3","2 - 3","10.1007/BF00113898","John J. Grefenstette","1988","http://link.springer.com/article/10.1007/BF00113898","Article"
"Learning From Noisy Examples","Machine Learning","","2","4","10.1023/A:1022873112823","Dana AngluinPhilip Laird","1988","http://link.springer.com/article/10.1023/A%3A1022873112823","Article"
"A non-recursive algorithm computing set expressions","Journal of Computer Science and Technology","","3","4","10.1007/BF02943355","Lin LianYili ZhangChangjie Tang","1988","http://link.springer.com/article/10.1007/BF02943355","Article"
"Book reviews","Artificial Intelligence Review","","2","1","10.1007/BF00139625","S. J. MaskellR. A. CobleyL. BolcA. NarayananG. H. HallR. ForsythT. Dodd","1988","http://link.springer.com/article/10.1007/BF00139625","Article"
"Left-associative grammar: The algebraic definitions","Computers and translation","","3","2","10.1007/BF02055235","Roland Hausser","1988","http://link.springer.com/article/10.1007/BF02055235","Article"
"Inferring negative information from disjunctive databases","Journal of Automated Reasoning","","4","4","10.1007/BF00297247","Kenneth A. RossRodney W. Topor","1988","http://link.springer.com/article/10.1007/BF00297247","Article"
"Opening the AC-unification race","Journal of Automated Reasoning","","4","4","10.1007/BF00297251","Hans-Jürgen BürckertAlexander HeroldDeepak KapurJörg H. SiekmannMark E. StickelMichael TeppHantao Zhang","1988","http://link.springer.com/article/10.1007/BF00297251","Article"
"An execution model for exploiting AND-parallelism in logic programs","New Generation Computing","","5","4","10.1007/BF03037417","Yow-Jian LinVipin Kumar","1988","http://link.springer.com/article/10.1007/BF03037417","Article"
"The computer: liberator or jailor of the creative spirit","The Visual Computer","","4","1","10.1007/BF01901076","John Pearson","1988","http://link.springer.com/article/10.1007/BF01901076","Article"
"Special Feature on Graphics Hardware","The Visual Computer","","4","4","10.1007/BF01887589","Tadao Nakamura","1988","http://link.springer.com/article/10.1007/BF01887589","Article"
"Computer art forum","The Visual Computer","","4","1","10.1007/BF01901080","","1988","http://link.springer.com/article/10.1007/BF01901080","Article"
"The CUBE workstation —a 3-D voxel-based graphics environment","The Visual Computer","","4","4","10.1007/BF01887593","Arie Kaufman","1988","http://link.springer.com/article/10.1007/BF01887593","Article"
"Human-oriented and machine-oriented reasoning: Remarks on some problems in the history of Automated Theorem Proving","AI & SOCIETY","","2","2","10.1007/BF01891376","Furio Di Paola","1988","http://link.springer.com/article/10.1007/BF01891376","Article"
"Computation of the singular value expansion","Computing","","40","3","10.1007/BF02251248","P. C. Hansen","1988","http://link.springer.com/article/10.1007/BF02251248","Article"
"The Teflon tendency rides again!","AI & SOCIETY","","2","2","10.1007/BF01891380","David Smith","1988","http://link.springer.com/article/10.1007/BF01891380","Article"
"News and Notes","Machine Learning","","3","2 - 3","10.1023/A:1022666405980","","1988","http://link.springer.com/article/10.1023/A%3A1022666405980","Article"
"Learning by failing to explain: Using partial explanations to learn in incomplete or intractable domains","Machine Learning","","3","1","10.1007/BF00115010","Robert J. Hall","1988","http://link.springer.com/article/10.1007/BF00115010","Article"
"A study ofB-convergence of linearly implicit Runge-Kutta methods","Computing","","40","3","10.1007/BF02251252","K. StrehmelR. WeinerI. Dannehl","1988","http://link.springer.com/article/10.1007/BF02251252","Article"
"Mixed computation of Prolog programs","New Generation Computing","","6","2 - 3","10.1007/BF03037134","David A. FullerSamson Abramsky","1988","http://link.springer.com/article/10.1007/BF03037134","Article"
"Line-drawing interpretation: A mathematical framework","International Journal of Computer Vision","","2","2","10.1007/BF00133696","Vishvjit S. Nalwa","1988","http://link.springer.com/article/10.1007/BF00133696","Article"
"Book Reviews","Computers and translation","","3","2","10.1007/BF02055237","K. van den EyndeE. BroedersC. EggermontL. Vangilbergen","1988","http://link.springer.com/article/10.1007/BF02055237","Article"
"Computing the volume of the union of spheres","The Visual Computer","","3","6","10.1007/BF01901190","David AvisBinay K. BhattacharyaHiroshi Imai","1988","http://link.springer.com/article/10.1007/BF01901190","Article"
"Inference rules using local contexts","Journal of Automated Reasoning","","4","4","10.1007/BF00297249","Leonard G. Monk","1988","http://link.springer.com/article/10.1007/BF00297249","Article"
"The computer — a new tool for visual art","The Visual Computer","","4","1","10.1007/BF01901078","Herbert W. Franke","1988","http://link.springer.com/article/10.1007/BF01901078","Article"
"Computer art forum","The Visual Computer","","4","4","10.1007/BF01887595","Nadia Magnenat-Thalmann","1988","http://link.springer.com/article/10.1007/BF01887595","Article"
