"Contents of the DL"
"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"SIG Newsletters","AI Matters","AI Matters","","2372-3483","Volume 1 Issue 1 (August 2014)","Volume 5 Issue 1 (April 2019)","http://dl.acm.org/citation.cfm?id=J1513","http://dl.acm.org/citation.cfm?id=J1513&picked=prox"
"SIG Newsletters","Communication Design Quarterly Review","Commun. Des. Q. Rev","2166-1200","2166-1642","Volume 2 Issue 1 (March 2001)","Volume 6 Issue 4 (December 2018)","http://dl.acm.org/citation.cfm?id=J1351","http://dl.acm.org/citation.cfm?id=J1351&picked=prox"
"SIG Newsletters","GetMobile: Mobile Computing and Communications","GetMobile: Mobile Comp. and Comm.","2375-0529","2375-0537","Volume 1 Issue 1 (April 1997)","Volume 22 Issue 4 (December 2018)","http://dl.acm.org/citation.cfm?id=J1534","http://dl.acm.org/citation.cfm?id=J1534&picked=prox"
"SIG Newsletters","SIGSPATIAL Special","SIGSPATIAL Special","","1946-7729","Volume 1 Issue 1 (March 2009)","Volume 10 Issue 3 (November 2018)","http://dl.acm.org/citation.cfm?id=J1196","http://dl.acm.org/citation.cfm?id=J1196&picked=prox"
"Conference Proceedings","3DOR: 3D Object Retrieval","","","","2010 (October 2010)","2010 (October 2010)","http://dl.acm.org/proceedings/3dor/","http://dl.acm.org/proceedings/3dor/archive/"
"Conference Proceedings","3DVP: 3D Video Processing","","","","2010 (October 2010)","2010 (October 2010)","http://dl.acm.org/proceedings/3dvp/","http://dl.acm.org/proceedings/3dvp/archive/"
"Conference Proceedings","A-MOST: Advances in Model-Based Testing","","","","2005 (May 2005)","2007 (July 2007)","http://dl.acm.org/proceedings/a-most/","http://dl.acm.org/proceedings/a-most/archive/"
"Conference Proceedings","A2CWiC: Amrita ACM-W Celebration on Women in Computing in India","","","","2010 (September 2010)","2010 (September 2010)","http://dl.acm.org/proceedings/a2cwic/","http://dl.acm.org/proceedings/a2cwic/archive/"
"Conference Proceedings","AAA-IDEA: Advanced Architectures and Algorithms for Internet Delivery and Applications","","","","2006 (October 2006)","2006 (October 2006)","http://dl.acm.org/proceedings/aaa-idea/","http://dl.acm.org/proceedings/aaa-idea/archive/"
"Conference Proceedings","AADEBUG: Automated analysis-driven debugging","","","","2005 (September 2005)","2005 (September 2005)","http://dl.acm.org/proceedings/aadebug/","http://dl.acm.org/proceedings/aadebug/archive/"
"Conference Proceedings","AAMAS: Autonomous Agents and Multiagent Systems","","","","2002 (July 2002)","2018 (July 2018)","http://dl.acm.org/proceedings/aamas/","http://dl.acm.org/proceedings/aamas/archive/"
"Conference Proceedings","ACDC: Automated Control for Datacenters and Clouds","","","","2009 (June 2009)","2009 (June 2009)","http://dl.acm.org/proceedings/acdc/","http://dl.acm.org/proceedings/acdc/archive/"
"Conference Proceedings","ACET: Advances in Computer Entertainment Technology","","","","2004 (September 2004)","2016 (November 2016)","http://dl.acm.org/proceedings/ace/","http://dl.acm.org/proceedings/ace/archive/"
"Conference Proceedings","ACISNR: Applications of Computer and Information Sciences to Nature Research","","","","2010 (May 2010)","2010 (May 2010)","http://dl.acm.org/proceedings/acisnr/","http://dl.acm.org/proceedings/acisnr/archive/"
"Conference Proceedings","ACL2: ACL2 Theorem Prover and its Applications","","","","2006 (August 2006)","2009 (May 2009)","http://dl.acm.org/proceedings/acl2/","http://dl.acm.org/proceedings/acl2/archive/"
"Conference Proceedings","ACM DEV: Computing for Development","","","","2010 (December 2010)","2016 (November 2016)","http://dl.acm.org/proceedings/acmdev/","http://dl.acm.org/proceedings/acmdev/archive/"
"Conference Proceedings","ACM POLICY: ACM POLICY","","","","1998 (June 1998)","1998 (June 1998)","http://dl.acm.org/proceedings/acmpolicy/","http://dl.acm.org/proceedings/acmpolicy/archive/"
